Sentences,Labels
This article details the viral pandemic of coronavirus disease 2019 (COVID-19) in the U. S.  state of Pennsylvania.,0
"As of March 24, 2020, the Pennsylvania Department of Health has confirmed 851 cases and 7 deaths in the state.",0
"On March 6, Governor Tom Wolf reported Pennsylvania's first two confirmed cases of coronavirus in Delaware County and in Wayne County.",0
Both cases were related to travel.,0
"March 9 brought 4 more, total 10. .",0
"March 10 saw 2 case, total standing at 12. .",0
"On March 13, Governor Wolf announced that all Pennsylvania schools will be closed for 10 days.",1
"Additionally, park programs were canceled.",0
"By March 17, there were 96 cases in the state; more than half of them were in the Philadelphia area with Montgomery County as the highest number.",0
"On March 18, the department of health reported the state's first death related to the virus, a patient at St.  Luke's Fountain Hill campus in Northampton County.",0
"As of March 18, there are 133 cases in the state.",0
"On March 19, the PA Department of Education canceled all statewide assessments including the PSSA testing, Keystone exams, and the Pennsylvania Alternate System of Assessment (PASA) for the remainder of the 2019–2020 school year.",1
"Governor Wolf ordered a statewide shutdown of all ""non-life sustaining businesses,"" enforcement of this order will go into effect at 8:00 a. m.  Monday, March 23. .",3
"On March 21, the department of health announced the state's second death as well as 103 new cases.",0
The second death was in Allegheny County.,0
"On March 22, 273 new cases were reported, bringing the number total to 644.",0
The sixth death occurred in Montgomery County.,0
"As a result of the coronavirus pandemic, Governor Wolf has implemented social distancing measures in Bucks, Chester, Delaware, and Montgomery counties in the Philadelphia suburbs along with Allegheny County in the Pittsburgh area, which urges non-essential businesses to close, such as malls, movie theaters, and casinos.",0
"Essential businesses such as gas stations, grocery stores, and pharmacies will remain open.",0
"Essential services such as police, fire, and emergency medical services will be available.",0
"Starting March 16, bars and restaurants will be ordered to close to dine-in customers in those counties.",2
"Starting March 17, Fine Wine & Good Spirits stores in the four suburban Philadelphia counties will close.",2
"In addition, non-essential travel is discouraged.",0
A no visitor policy was implemented for correctional facilities and nursing homes statewide.,0
"On March 22, Philadelphia Mayor Jim Kenney issued a stay at home order for the city, set to take effect the following day at 8:00am.",2
"On Monday the 23rd, Governor Wolf issued additional stay at home orders for seven counties: Allegheny, Bucks, Chester, Delaware, Montgomery, Monroe, and a redundant order for Philadelphia County, to go into effect at 8:00pm the same day.",3
"On March 16, the social distancing measures were extended to the entire state, while Philadelphia Mayor Jim Kenney ordered nonessential businesses and city government to close for two weeks.",2
"Starting March 17, SEPTA Regional Rail trains in the Philadelphia area will operate on an enhanced Saturday schedule for two weeks due to reduced ridership and staffing.",0
"In addition, SEPTA will offer refunds for unused and partially used passes.",0
"On March 19, the state's department of education announced that all statewide assessments would be canceled for the remainder of the 2019–2020 school year.",0
"On March 22, Governor Tom Wolf announced the commonwealth would likely postpone its Democratic and Republican primary elections from April 28 to June 2. .",0
Impact on sports.,0
Most of the state's sports teams were affected.,0
Several leagues began postponing or suspending their seasons starting March 12.,0
"Major League Baseball cancelled the remainder of spring training on that date, and on March 16, they announced that the season will be postponed indefinitely, after the recommendations from the CDC to restrict events of more than 50 people for the next eight weeks, affecting the Philadelphia Phillies and Pittsburgh Pirates.",0
"Also on March 12, the National Basketball Association announced the season would be suspended for 30 days, affecting the Philadelphia 76ers.",0
"In the National Hockey League, the season was suspended for an indefinite amount of time, affecting the Pittsburgh Penguins and Philadelphia Flyers.",0
"In college sports, the National Collegiate Athletic Association cancelled all winter and spring tournaments, most notably the Division I men's and women's basketball tournaments, affecting colleges and universities statewide.",0
"On March 16, the National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons.",0
Coronavirus information from the Pennsylvania Department of Health,0
